,Country,Year,Prevalence of raised blood pressure,Mean total cholesterol (mmol/L),Mean non-HDL cholesterol (mmol/L),Mean HDL cholesterol (mmol/L),Crude diabetes prevalence,Prevalence of hypertension,Proportion of diagnosed hypertension among all hypertension,Proportion of treated hypertension among all hypertension,Proportion of controlled hypertension among all hypertension,Proportion of untreated stage 2 hypertension among all hypertension,Sex,Continent
10,AFG,1980,0.198356983,0.2988202242074527,0.3042767159256521,0.4826676460171538,0.0282907980312252,0.351444111886599,0.396328811034112,0.227365176991046,0.0894759503866954,0.305917009137121,1.0,AS
11,AFG,1980,0.175368152,0.2711882236263192,0.2931200421036528,0.42610036894676,0.0369171593268376,0.328122145821362,0.338679401292859,0.177626048365897,0.0729256007907029,0.36383056627359,0.0,AS
12,AFG,1981,0.198602166,0.2998058642856676,0.3092957948952808,0.4760056452404647,0.0289306071900382,0.3466339564399605,0.4570469463842694,0.303126714896222,0.1119189556232191,0.2267432990101845,1.0,AS
13,AFG,1981,0.176321376,0.2745338133761803,0.2996525859161634,0.423730103846721,0.0376090871863219,0.355528862060635,0.379934893234431,0.2166279731505145,0.0742862001264508,0.3362441076529605,0.0,AS
14,AFG,1982,0.19859896,0.3008426022186223,0.3143593864563681,0.4694176519529588,0.029536810224047,0.3606729077499034,0.4109012438854335,0.268296774704627,0.094370056184187,0.273648549107102,1.0,AS
15,AFG,1982,0.176974697,0.2778951886589658,0.3061904125389246,0.4214077171119547,0.038284303520573,0.357302922660219,0.407087158290638,0.24420662238174,0.0838336295045025,0.299058499810362,0.0,AS
16,AFG,1983,0.198409775,0.3019715584327136,0.3194933983019141,0.4628846252403912,0.0301140427112387,0.36072302250179,0.3059769703899589,0.1621052355061525,0.0522719164526099,0.3763166363683275,1.0,AS
17,AFG,1983,0.177407518,0.2812506871679332,0.312664384191488,0.4190793476704212,0.0389545671393336,0.3327939208789285,0.3905147000650535,0.2303553383390725,0.091813923225126,0.2904256940078715,0.0,AS
18,AFG,1984,0.198163259,0.303171226761642,0.3246802941327148,0.4563984862922509,0.0306958436959777,0.3557939152025595,0.4505484973853835,0.2762129820070715,0.0825765375667605,0.306951038389321,1.0,AS
19,AFG,1984,0.177769871,0.2846525810086684,0.3191350831638294,0.4168562110036814,0.039641581546034,0.3434029497424155,0.2663829118156615,0.0851118906872657,0.0187569598151273,0.421999972159735,0.0,AS
20,AFG,1985,0.197930128,0.3043701588696406,0.3298242515027058,0.4498970902778819,0.0313047151801288,0.3872638244627805,0.5378263210194689,0.4131543532314535,0.1009556626099665,0.1850455751047215,1.0,AS
21,AFG,1985,0.178161332,0.2880270443399113,0.3255215806443544,0.4146966499549346,0.040379658109217,0.3461080655243105,0.2701675355544994,0.0882874921409899,0.0197175401616643,0.4187084389087685,0.0,AS
22,AFG,1986,0.197671175,0.3055805829139739,0.3349254878595766,0.4435142913438957,0.0319591955958046,0.3872638244627805,0.5378263210194689,0.4131543532314535,0.1009556626099665,0.1850455751047215,1.0,AS
23,AFG,1986,0.178622866,0.291309220632183,0.3317528621694663,0.4125762981827873,0.0411781242926279,0.3685970596884225,0.301739472846723,0.1328682043526465,0.0524971563319612,0.38275769315332,0.0,AS
24,AFG,1987,0.197488263,0.3067127990388103,0.3399085266948797,0.4372544026413146,0.0327077763964209,0.3830289341405245,0.536630449645163,0.409678564035931,0.1002017988582114,0.18159812523702,1.0,AS
25,AFG,1987,0.179294592,0.2945491322251463,0.3378638498638621,0.4105798730382343,0.042114482640368,0.346083355180295,0.3314981958540309,0.188759047811297,0.0654106689707165,0.301432043402333,0.0,AS
26,AFG,1988,0.197750724,0.3077852310343412,0.3447579740887306,0.431185273742468,0.0336090902531907,0.302372105051198,0.4116011205067414,0.266333896004048,0.0897349011020854,0.304706503679123,1.0,AS
27,AFG,1988,0.180319392,0.297708159667746,0.3438066670527318,0.4087089995702214,0.0431751164350282,0.317202394829341,0.380965982121285,0.2258978612114744,0.0458496180146283,0.2521978468687955,0.0,AS
28,AFG,1989,0.198707167,0.3083539139614926,0.3489485067346796,0.4255613048949819,0.0347789215266089,0.2612093450113735,0.275821109872669,0.1686461619552175,0.051343256221432,0.264834113236552,1.0,AS
29,AFG,1989,0.181847349,0.3004772881458464,0.3491811559780076,0.4071540259366245,0.0443851725940248,0.3346805825155575,0.4256261225911985,0.246848291401695,0.0445510865718503,0.253396371819551,0.0,AS
30,AFG,1990,0.200566118,0.3084924594706679,0.352555424114601,0.4203496606839373,0.036247661399227,0.290697752542468,0.207664989397115,0.128477363360957,0.027128352676138,0.288415105687465,1.0,AS
31,AFG,1990,0.183942049,0.3027736674457004,0.3539135735475683,0.4058191266642467,0.0457136758402326,0.333918340888633,0.423197090092209,0.242999049454561,0.0438766645728641,0.255661425725918,0.0,AS
32,AFG,1991,0.20325883,0.3081941141218152,0.3556185986991876,0.4154324568608275,0.0380151872540547,0.292587674008287,0.213110638271615,0.133275721838452,0.0279071223913643,0.285029445037623,1.0,AS
33,AFG,1991,0.186543594,0.3046186662428014,0.3580744265655385,0.4046668065196112,0.047151668461213,0.335442824142482,0.428055155090188,0.250697533348829,0.0452255085708366,0.251131317913184,0.0,AS
34,AFG,1992,0.206402128,0.3075500335528474,0.3582652295066952,0.4108111381944485,0.0399432273288073,0.294664527449035,0.218798065088388,0.138433848485785,0.028882241879383,0.28182328084579,1.0,AS
35,AFG,1992,0.189412927,0.3061811259290998,0.3618523941278802,0.4036462303520517,0.0486229837397498,0.337094175963892,0.432963829617593,0.258924864856169,0.0468657986050389,0.246803375964789,0.0,AS
36,AFG,1993,0.209526288,0.3065919076743384,0.3605198412189748,0.4064814748418238,0.0418451250588292,0.296836065350673,0.224702581856629,0.143940713375826,0.0300650800784654,0.278780477534506,1.0,AS
37,AFG,1993,0.192270042,0.3074025945136178,0.3652002628437782,0.4028116638965048,0.0500385862585938,0.338849628064722,0.438000821301699,0.267698575672848,0.0488987106830485,0.242626136729997,0.0,AS
38,AFG,1994,0.212353222,0.3052479620956527,0.3622973553311504,0.4023594727153469,0.043580619682006,0.298950135539488,0.23075598794696,0.149809073074329,0.0314698579580268,0.275852892370856,1.0,AS
39,AFG,1994,0.194941637,0.3084047723688934,0.3682663174930021,0.402152776645604,0.0513530834930787,0.340638653307503,0.443153566108397,0.276952547742303,0.051380692400254,0.238530140712052,0.0,AS
40,AFG,1995,0.214852635,0.3036276549070404,0.3637190734009383,0.3984864280983385,0.0452757553705908,0.30110194419827,0.237040414332518,0.156063929404556,0.0331068937698026,0.272986236789284,1.0,AS
41,AFG,1995,0.19735601,0.309244148415561,0.3711210376630134,0.4017003564257529,0.0527453078255818,0.342482836839634,0.448463815305669,0.286654861710334,0.0543101477205317,0.234445722864474,0.0,AS
