,Country,Year,Prevalence of raised blood pressure,Mean total cholesterol (mmol/L),Mean non-HDL cholesterol (mmol/L),Mean HDL cholesterol (mmol/L),Crude diabetes prevalence,Prevalence of hypertension,Proportion of diagnosed hypertension among all hypertension,Proportion of treated hypertension among all hypertension,Proportion of controlled hypertension among all hypertension,Proportion of untreated stage 2 hypertension among all hypertension,Sex,Continent
18,AFG,1999,0.223165817,4.25097650227882,3.11089929322173,1.11781332420163,0.0515934211096759,0.304973509577348,0.262043612664179,0.182302942786007,0.0419220302999812,0.257969603641958,1.0,AS
19,AFG,1999,0.205601989,4.2987320681511,3.15672873655615,1.13501722363172,0.0583663710901636,0.347882681182375,0.471349282762132,0.329328322507591,0.0702836725779443,0.216372427419552,0.0,AS
20,AFG,2000,0.224941913,4.24256366410426,3.11032652177779,1.11438242557871,0.0531874234651624,0.306211331686218,0.268674573270338,0.189511788626766,0.0445939616130439,0.254422877146443,1.0,AS
21,AFG,2000,0.207252201,4.29933692997018,3.16304189966397,1.13505788307523,0.0598068403609522,0.349966408071078,0.477859486055898,0.341065427457994,0.0750146090191229,0.212003718108807,0.0,AS
22,AFG,2001,0.226372298,4.23346326641133,3.10888484386271,1.11090356007888,0.054702127223161,0.307194045222126,0.275327576206179,0.19689367432218,0.0474363204129568,0.250882214746611,1.0,AS
23,AFG,2001,0.208573751,4.29962840255072,3.16891581257893,1.13513446340325,0.061191064198298,0.352050123064646,0.484747691397484,0.353229754167048,0.0801470864538299,0.207604589542986,0.0,AS
24,AFG,2002,0.227623566,4.22367042366804,3.10652323824212,1.10724762597306,0.0564229974000415,0.308204610300405,0.2821528156488,0.204511538893131,0.0504957079449545,0.247520478562063,1.0,AS
25,AFG,2002,0.209684644,4.2995178960675,3.17418692640621,1.13516429350156,0.062778626871288,0.354413974572191,0.49197712546279,0.36584587028888,0.0855802177641745,0.203288133815199,0.0,AS
26,AFG,2003,0.228737753,4.21323469175448,3.10341182365262,1.10342341108862,0.0582198790684941,0.309178835627041,0.289133156626694,0.212334350993186,0.0536977004642702,0.244362592442827,1.0,AS
27,AFG,2003,0.210707157,4.29883646248456,3.17873052130682,1.13500267648462,0.0644619757596098,0.357034316060816,0.499560304400178,0.378862904477766,0.091389843455073,0.199015041801622,0.0,AS
28,AFG,2004,0.229873876,4.20232260968754,3.09976232862069,1.09935832543775,0.0600398707094716,0.310077926390723,0.296244640422795,0.220186126534961,0.0570077099283371,0.241408504824501,1.0,AS
29,AFG,2004,0.211805855,4.2975761048847,3.18261821636542,1.13463744013384,0.0662060651173784,0.359850046900918,0.507542267471934,0.392073278879447,0.0974633744189956,0.194805854628029,0.0,AS
30,AFG,2005,0.231034679,4.19094558480681,3.09559068600812,1.09503664688205,0.0619298419859104,0.310813163978265,0.303423456839949,0.227993656183107,0.0603624860137981,0.23871830453762,1.0,AS
31,AFG,2005,0.213075853,4.29626863855628,3.1864273162859,1.13423035499937,0.0680868506778561,0.362839769006453,0.515826967472403,0.405097445375999,0.103656026745758,0.190762602803559,0.0,AS
32,AFG,2006,0.232209552,4.17913591540088,3.09093106173,1.09045646925253,0.0638915253911463,0.311718119087778,0.310793199847303,0.235780010478818,0.0636573787041738,0.23653656552918,1.0,AS
33,AFG,2006,0.21452433,4.29464768860938,3.18979308237879,1.13369193930056,0.0701018311120941,0.365903040748799,0.524199235834267,0.417505715355576,0.109753083716949,0.186921897884576,0.0,AS
34,AFG,2007,0.233328656,4.16667851241151,3.0854896434373,1.08563321812309,0.0659880007090697,0.312490325693489,0.318360550134748,0.243379846681467,0.0668713620263128,0.234632126638434,1.0,AS
35,AFG,2007,0.216063902,4.29229903661015,3.19225828590035,1.13294240331398,0.0722821590570337,0.369100180146349,0.532849466046034,0.42919492623127,0.115681163897892,0.183289546452813,0.0,AS
36,AFG,2008,0.23437082,4.1535716497427,3.07924971940232,1.08071305716977,0.0680941349847158,0.313166650187607,0.326116580650635,0.250842422953963,0.0699833962785392,0.233055946163383,1.0,AS
37,AFG,2008,0.217629411,4.28943605206833,3.19397549397001,1.13209439552146,0.0745224484051757,0.372471572991703,0.541711700220834,0.440091060850059,0.121195374088772,0.17993766637024,0.0,AS
38,AFG,2009,0.235246328,4.13978732753292,3.07214305110052,1.07567049499737,0.0702988016305254,0.313840737944245,0.334110645496381,0.258172772894319,0.0729735596440844,0.231781134896684,1.0,AS
39,AFG,2009,0.219086471,4.28612233627479,3.19509313942561,1.13117019643495,0.0768803328099666,0.376122748846071,0.550893761530381,0.450225488808451,0.12628638275391,0.176826095956336,0.0,AS
40,AFG,2010,0.235839466,4.12536927567266,3.06425388287871,1.07047457609948,0.0723898777868645,0.314473279437934,0.342324237330554,0.265452289384901,0.0758516109539753,0.230789152417017,1.0,AS
41,AFG,2010,0.220299064,4.28238873288601,3.19560190981682,1.13024845506346,0.0791660563572781,0.379981214380569,0.560306897863654,0.459782129913586,0.131146096941868,0.173957115798692,0.0,AS
42,AFG,2011,0.236172367,4.11035311381445,3.05555875300904,1.06524652041605,0.074340129713617,0.314416702084801,0.350360723497675,0.272210726470515,0.0786100231271464,0.229796406785962,1.0,AS
43,AFG,2011,0.221266932,4.27809638305777,3.19537951752999,1.12930745443854,0.0813556659781261,0.383607221919786,0.569571821946189,0.468477252582594,0.135818429180613,0.171229614078184,0.0,AS
44,AFG,2012,0.236299546,4.0947149833495,3.04606083233997,1.06006509692462,0.0763446918382395,0.314315742362223,0.358490145951665,0.278775773539931,0.0812227647482701,0.229104079488238,1.0,AS
45,AFG,2012,0.222064433,4.27354604508946,3.19475868729865,1.12841808341877,0.0836548894257041,0.387359666497079,0.578810207563892,0.47660184581534,0.140442713390828,0.168761347073844,0.0,AS
46,AFG,2013,0.23628159,4.07856333873261,3.03583640369942,1.054923206039,0.0782920328160856,0.314237459466445,0.366746568432149,0.285168207369136,0.0837329774415376,0.22868525091997,1.0,AS
47,AFG,2013,0.222690668,4.26833930766669,3.19325390794512,1.12756027504124,0.0859133130883564,0.391281709623543,0.588186518958407,0.484192186446213,0.144969093143734,0.166570928108843,0.0,AS
48,AFG,2014,0.236149257,4.06164164352646,3.02460507609318,1.04980787453437,0.0801479081640533,0.314233859089775,0.375084622818294,0.291469434263036,0.0860959962115825,0.22855168675398,1.0,AS
49,AFG,2014,0.223185254,4.26262417649426,3.19103321319337,1.12674408766605,0.088120828720755,0.395545526318003,0.5976851039634,0.491399944629513,0.149511613772405,0.164591418366281,0.0,AS
50,AGO,1990,0.242077259,3.94166402366245,2.62092607407356,1.07080913963464,0.0250306444457025,0.34629676206475,0.169070649224513,0.0596678155245862,0.0150444863613779,0.390451131325828,1.0,AF
51,AGO,1990,0.218974073,4.1051774650057,2.72899679050296,1.13269992732051,0.0266862539049136,0.341975115998795,0.330296935568402,0.0994705303752374,0.032856438534638,0.426859660768876,0.0,AF
52,AGO,1991,0.242791593,3.94893252545071,2.63864567220539,1.0665854946297,0.0261084905438854,0.344915313310531,0.172097275014554,0.0614604701919562,0.0151056124269244,0.386233842736016,1.0,AF
53,AGO,1991,0.219928377,4.11608252148946,2.74808914560594,1.13280299721479,0.0275608997208334,0.341061118335891,0.332697367522533,0.101475064443619,0.0328666907181232,0.424715144091298,0.0,AF
54,AGO,1992,0.243291855,3.95585247622423,2.65554166019672,1.0627956960338,0.0271230387983679,0.343572103205045,0.175282107773494,0.0634095101649973,0.0153058597475055,0.381941683659794,1.0,AF
55,AGO,1992,0.220847837,4.12670601720385,2.76629592220865,1.13323487384495,0.0283935751683036,0.340208561135704,0.335253588876963,0.103800592244121,0.0331669596247235,0.422462472390259,0.0,AF
